# Time(ps) Median_Mean_Curvature(1/A)
107500.0000 0.00909999
107600.0000 0.00910178
107700.0000 0.00908416
107800.0000 0.00906313
107900.0000 0.00907672
108000.0000 0.00910277
108100.0000 0.00911287
108200.0000 0.00909868
108300.0000 0.00914467
108400.0000 0.00910124
108500.0000 0.00907207
108600.0000 0.00904588
108700.0000 0.00907601
108800.0000 0.00911972
108900.0000 0.00907594
109000.0000 0.00907491
109100.0000 0.00912278
109200.0000 0.00903430
109300.0000 0.00911171
109400.0000 0.00914650
109500.0000 0.00908041
109600.0000 0.00909527
109700.0000 0.00907023
109800.0000 0.00907623
109900.0000 0.00905909
110000.0000 0.00909682
110100.0000 0.00909328
110200.0000 0.00907518
110300.0000 0.00909704
110400.0000 0.00907281
110500.0000 0.00906557
110600.0000 0.00908827
110700.0000 0.00908548
110800.0000 0.00907693
110900.0000 0.00909963
111000.0000 0.00906931
111100.0000 0.00910511
111200.0000 0.00907475
111300.0000 0.00910388
111400.0000 0.00912624
111500.0000 0.00905855
111600.0000 0.00914268
111700.0000 0.00903562
111800.0000 0.00908658
111900.0000 0.00905214
112000.0000 0.00907840
112100.0000 0.00906870
112200.0000 0.00910811
112300.0000 0.00907515
112400.0000 0.00909340
112500.0000 0.00903557
112600.0000 0.00910680
112700.0000 0.00911170
112800.0000 0.00910403
112900.0000 0.00913134
113000.0000 0.00910407
113100.0000 0.00907277
113200.0000 0.00910342
113300.0000 0.00912732
113400.0000 0.00907995
113500.0000 0.00904686
113600.0000 0.00909799
113700.0000 0.00906850
113800.0000 0.00908854
113900.0000 0.00907517
114000.0000 0.00903283
114100.0000 0.00908977
114200.0000 0.00915805
114300.0000 0.00907680
114400.0000 0.00910010
114500.0000 0.00911893
114600.0000 0.00909433
114700.0000 0.00909880
114800.0000 0.00907076
114900.0000 0.00913902
115000.0000 0.00907220
115100.0000 0.00916799
115200.0000 0.00910887
115300.0000 0.00908066
115400.0000 0.00913079
115500.0000 0.00908852
115600.0000 0.00906553
